State,Attraction,Address,City,Zip Code,"Location (Lat, Long)",Rating,Image URL,Category,Opening Hours
AZ,Crossed Arrows Park,"6102 East Acoma Drive, Scottsdale",Scottsdale,85254,"33.6206134, -111.9494443",4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMUB-EUp6sboyUIPGKp3nnjKzufZHo4fpKAlTa0htpvmtKHdFSx8jKNtuMFGY5YyxgILQegLuAIEYZKlOQyZW0uuKY8Rxn74YqUu4V0agTz0ieBiOB6e2f5BI8tlJMtkTriYr1kt8rHm3oUlPtmLF2zwaXmkEBftsGC1_Lrooy6LKC3&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 5:30AM - 10:00PM
Tuesday: 5:30AM - 10:00PM
Wednesday: 5:30AM - 10:00PM
Thursday: 5:30AM - 10:00PM
Friday: 5:30AM - 10:00PM
Saturday: 5:30AM - 10:00PM
Sunday: 5:30AM - 10:00PM"
AZ,Ensenada Park,"6413 East Elmwood Street, Mesa",Mesa,85205,"33.4325226, -111.6916625",4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DO-W8YYXFhYhRIF8-gF0DMzibrQlfExlv4sUcQCj_CGNsHupZzCzGTfLMxgOFdxTrNwP-blFP3BE-ucW1Qg7RVX4wwYx_OaIG1rX1oZ9QWBDACSVUJESssZ4fkIVFkOt8aK3Z-ZCVj7oRqs5t5aiwRaJx86RC62R13zA1YtH_qxEz3N&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 10:00PM
Tuesday: 6:00AM - 10:00PM
Wednesday: 6:00AM - 10:00PM
Thursday: 6:00AM - 10:00PM
Friday: 6:00AM - 10:00PM
Saturday: 6:00AM - 10:00PM
Sunday: 6:00AM - 10:00PM"
AZ,Ironwood Park,"18650 North 94th Street, Scottsdale",Scottsdale,85255,"33.6550783, -111.8794641",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPQA_huytc9IucprzPmjUH_Oi4NX4ak1q20zYl-KgJtCd6iW3awBh47U8pRnQgwWBvNYurZd_u5RqWfZAEEqjGRMFeII4XKnXnEscGML0ca0v6HfgO5EZB6KZTnCw3y_emvcFWQyBN_1ySXVwOJ_o9Nqjqa2Qe9mAn3uoXTeLY1TgM1&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment",N/A
AZ,Scuderia Southwest's Scottsdale Cars & Coffee,"20789 North Pima Road #210, Scottsdale",Scottsdale,85255,"33.67420809999999, -111.8885182",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DO1XJac_MEjQcudO4UBuiSy6qI2ol-Izd8sZZ7XJJHafFGQaPxFbkIhZNmgect3m_2gsvElKEaO3ZWVai62B1WJJ7o9FqrKfZgDxQE12Geubo2tpd_ptozyMokWzEH9E_OmDyQig7LqTmgM-v3SDX2iXNpR-wRMcSUWRQmDuEL8gXQ4&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment",N/A
AZ,The Arena Poker Room,"9800 E Talking Stick Way, Scottsdale",Scottsdale,85256,"33.540229, -111.869688",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNU8n9xwigyX7bZ9ts2Lj7J28fkZF1ZzCZwng_pcDzuRvapcNoYkspRu0pFd5V8Xc8ejX_xqHFCvfpKUEdPETMdjUp8ZYVyq_ratARndYGic4dSQkiVJlY_cgdlRwAIjis2hlV0fwgIucOXYEFJ1LYK3XX4VMeoJsN74VgA3Qimh6Fm&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"casino, tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AZ,Sheep Bridge,"Forest Road, Carefree",Carefree,85377,"34.07760409999999, -111.7073763",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOVJ4jsvvNI2xy9ul8P4vPEwizCAd7BA4GYcgiAuoOeyxSmzlVCnuw7rnMXp02OvfDrObcwi-08v270UZQS2lTme4o7n4Xi45W1doENAG8c_tlDOo-w4QezngK-g-u1vN0OH-j_RLMe2XzWjExXq-gVUo523ptR12k-HD61jqpk7mkW&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AZ,Phon D Sutton Recreation Area,"G8WR+G9, Mesa",Mesa,85215,"33.5460401, -111.6600341",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMJXXY208q9TTXNLZLGS6GTXp7avWh4KmVbM1V2ArTg1PowHHCFBfeZDAOLm6iuIDBT8xpi1xyKy404fBHUrev_OwFzSBNm9qGlqt3B8R09hE6U_7NfvObICU6-CKbjrsmmZZG7_soKedKhMC8WJghcuEq_tMEm3I11ndeTSY0x9N5h&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AZ,SunState Helicopter Tours,"7430 East Butherus Drive Suite G, Scottsdale",Scottsdale,85260,"33.6231651, -111.9185943",5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMFlBpRvfGyGmm4qlNZiByrFmYN9fmQRwU-oSFdWhtEtkvVnTs3No6Rg2G7R9iiViLKH3-Bi63ENxphwALETQveNFNV9keTb9Z5Ql7dIDYzvU2gzReHuZRsqK2mlNORrgIdBhlyylxTbeyCHiBsHPceF4GvWYd2jU2JUYFX-yII8uYH&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, travel_agency, point_of_interest, establishment","Monday: 8:00AM - 5:00PM
Tuesday: 8:00AM - 5:00PM
Wednesday: 8:00AM - 5:00PM
Thursday: 8:00AM - 5:00PM
Friday: 8:00AM - 5:00PM
Saturday: 8:00AM - 5:00PM
Sunday: 8:00AM - 5:00PM"
AZ,Carefree Desert Gardens,"101 Easy Street, Carefree",Carefree,85377,"33.8247801, -111.9229218",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DP0V4nXCkUbu3wQHFjbWupgxA5aJkxmorjpmG53CMFtERFuT5vWOlg-e3Rl58LDxV0vnZTWlCGGK7zRKmRECRNjNvR1f68Bd_mEVV7ANihyDCK_WspkpMVgUcFLgNwrgTloIbXQFS-PNlXVF0qvMaMBZcjaCiHIcyOQei83urYnBjr_&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AZ,iFLY Indoor Skydiving - Phoenix,"9206 Talking Stick Way, Scottsdale",Scottsdale,85250,"33.53992, -111.882359",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMtJqIKiuOshdrNs08pOQVJL9tRZDFGCdDlp_bgM0bNjFPSj5_gpmlD55_rhPgPqy398ArlGCQTOReYnwc27FqEguprDafQz-oWp8cRdheauvN-bEAqS_TmYOSaUsormHib6rJ-d3TEkWVRBI-OttamS3yA9hKuyNFNxwL3V0-3Vm59&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"amusement_park, tourist_attraction, point_of_interest, establishment","Monday: 9:00AM - 6:30PM
Tuesday: 9:00AM - 6:30PM
Wednesday: 9:00AM - 7:30PM
Thursday: 9:00AM - 7:30PM
Friday: 9:00AM - 8:30PM
Saturday: 8:00AM - 9:30PM
Sunday: 9:00AM - 7:30PM"
AR,Pinnacle Mountain State Park,"9600 Arkansas 300, Little Rock",Little Rock,72223,"34.8366143, -92.4710906",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOK5zjVlbUmwWnHZp3BzNZNo3cJveYxWrCH-FxzdjWUqkRMmoHSOlBjQbITzK8r7xlNgCUTn257gE7ExTegjYQZfl5a9UGzoEL3bqlX93aJ9Vq8qz0Vt5GdV0aVunMm0VkQKJf4lHQPej-tRZGMd1vP46vOsF3xgFQOMyECLCnKw_Hn&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment",N/A
AR,Little Rock Zoo,"1 Zoo Drive, Little Rock",Little Rock,72205,"34.7468773, -92.3302705",4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DP7_-CXFo9qScRMJlcGLu4d4iRIKjAyzFZznKzu-zLDdfbjWPlOEjZCzbrfAZ_7uY_cINJW4foaJDr7rzAxOL_foae_FDBXV8a_cgbHjLGYHc8smHdZZSb_JhyKFKIBYAvXgrDqjIp0bOD5b6vouvZyNnMJPsbd4E-DgudnYMQKt7JH&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"zoo, tourist_attraction, point_of_interest, establishment","Monday: 9:00AM - 4:00PM
Tuesday: 9:00AM - 4:00PM
Wednesday: 9:00AM - 4:00PM
Thursday: 9:00AM - 4:00PM
Friday: 9:00AM - 4:00PM
Saturday: 9:00AM - 4:00PM
Sunday: 9:00AM - 4:00PM"
AR,Baum Gallery,"201 Donaghey Avenue, Conway",Conway,72035,"35.0779181, -92.4561993",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOv8NH5RAUBqRIMKRS8EfAKtbWnQ9wd0fcGlrcdycZN7ALJx6d9M6mmzyR1ZOo6pIwtW8AGA5HSZT1okW1wcYmlJIDwr1BYZZrQez7gjAwXDyuDmei80IaC7tatf7mWqQhoCWf5dvHGi_7SVL-tvhfXNCNsf6WqSpS8NeS0-6T4SvxV&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"art_gallery, tourist_attraction, point_of_interest, establishment","Monday: 10:00AM - 5:00PM
Tuesday: 10:00AM - 5:00PM
Wednesday: 10:00AM - 5:00PM
Thursday: 10:00AM - 5:00PM
Friday: 10:00AM - 5:00PM
Saturday: Closed
Sunday: Closed"
AR,Museum of Discovery,"500 President Clinton Avenue, Little Rock",Little Rock,72201,"34.7475484, -92.26450179999999",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DME285AQ-RD9gK6fnkNceXa4Wxt-pTuD5CAagufRZTBNAmaiufFlATrGrcHOJQSbJhpZCLkXSQ0yxUWV1y4GPK4OPzDLKHgblVRGJhW-DFsgSZhzEXmtK8B7w2ExDySG025SSiP_7Qi-w77I6a7_8XsIx8PsD01TN4bQmHLYnu5qCr5&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, car_dealer, store, point_of_interest, establishment","Monday: Closed
Tuesday: 9:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,Rock Town Distillery,"1201 Main Street, Little Rock",Little Rock,72202,"34.73699300000001, -92.27208619999999",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOBT7HBZQF5NavcKqWlozvWxiC0B8dj5ZNGfsI2EHVMFiTfwk4bEiNfg-WRCVZ66l9fkcqBWxaz-nCDEOoRaLZ8XhFjwHUALpB41JCpTU0DabnX9Ahw4px-1TninySjIaAhAWMakpCToSaQ04GV_AXMdPzmShtnm45TLHRPLenm1ObB&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment","Monday: Closed
Tuesday: 11:00AM - 10:00PM
Wednesday: 11:00AM - 10:00PM
Thursday: 11:00AM - 10:00PM
Friday: 11:00AM - 12:00 AM
Saturday: 11:00AM - 12:00 AM
Sunday: 11:00AM - 10:00PM"
AR,Plum Bayou Mounds Archeological State Park,"490 Toltec Mounds Road, Scott",Scott,72142,"34.6454561, -92.05996619999999",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPHBVnEg7TtOifueuOVcnpL_B7rT-ERkWnFbM2UluwrtD5B7tV_7Q1BPs22xgHKxsHd0QQbHLSMU9ofiUoO2mZanX6kDey2TbIqyHCOU3pHD6LMuZ4sYCUnEJ7sFL9zRr_2XdmPm5sgu-rfyizAf3in3kdQ7q8r9Zkm79R7wDMGr2omjO_2Tg&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, park, point_of_interest, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 8:00AM - 5:00PM
Thursday: 8:00AM - 5:00PM
Friday: 8:00AM - 5:00PM
Saturday: 8:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,Woolly Hollow State Park,"82 Woolly Hollow Road, Greenbrier",Greenbrier,72058,"35.2887434, -92.2869995",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMHassYct_ymcrGP3MMxszHCGjXikmnY4HJ0HGkk6bQZqbqu635jBivNAXHcYToVE7d7-tJcQv_WulCrjtXmCZCvUCFicu6HE8qr-DbMA5N1-MUPBFOmJC03JP5o5wo78zWM4oLXCD1ZIj0AvBPxm7R45buF02tTmarJGy9ogtVsXuQ&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment","Monday: 8:00AM - 10:00PM
Tuesday: 8:00AM - 10:00PM
Wednesday: 8:00AM - 10:00PM
Thursday: 8:00AM - 10:00PM
Friday: 8:00AM - 10:00PM
Saturday: 8:00AM - 10:00PM
Sunday: 8:00AM - 10:00PM"
AR,Arkansas Inland Maritime Museum,"120 Riverfront Park Drive, North Little Rock",North Little Rock,72114,"34.7522251, -92.2669543",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOc-gjxE3J4lCayo-vpeM9UyWP9l7H2BH9UBQ0ZnyXRDpszKZYM9J6TOdLLtSQI3AzSWsPX80OD7WSknCP58gXEQeYAKQCxYODkhovBW2loUa0IaMAIUWJ4PrmjeHmFs_H0wF5zx6eJuOmTlDYZl-jtLoCaUA-5O4qEk48Y8KP8TAq5&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, point_of_interest, establishment","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: 10:00AM - 5:00PM
Saturday: 10:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,MacArthur Museum of Arkansas Military History,"503 East 9th Street, Little Rock",Little Rock,72202,"34.7383187, -92.2652979",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMOlQrDOJb5eelMYQp5Zv_5lYqLxfrhq99Ye6ONIBUbZJRSxJwaKPtNCW6qsoD0lU6HZYbTd-mWXRhEfCMCC84dOyV-F4J7DxtaD5Mw1dPDFH4ur8YbxipeijqNfDb5y7IgA6aC2Zq6ErUVtaXi_wpkb4WQZy5dEwdjSkWZDuyUGdAA&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, point_of_interest, establishment","Monday: Closed
Tuesday: 10:00AM - 5:00PM
Wednesday: 10:00AM - 5:00PM
Thursday: 10:00AM - 5:00PM
Friday: 10:00AM - 5:00PM
Saturday: 10:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,Old State House Museum,"300 West Markham Street, Little Rock",Little Rock,72201,"34.7490498, -92.27259269999999",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNgWBsNbtr26kys9FzmUkeJmqghtSOIRcFHCU11LSYg6XfVvGbrPlRu0By-3s1kZf-yXWZljGIq1x9AEFQgqlib6ZjsapHAk-vsXNmZvhmV1SA7hFF5zfMaAnfFLDsLE_Al5NaOkszO5udDAaZIdPnxXNZLEyV6kPi03hLprBlM1o4l&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment","Monday: Closed
Tuesday: 9:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,Little Rock River Market,"400 President Clinton Avenue, Little Rock",Little Rock,72201,"34.7476319, -92.26610509999999",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOSmFwNi5jPhlSAnnf95CNLnSReBooA1qSoTf_jRQuYSx-0wKp8ti06N0dPiNN6fri2ID-5zKbA5bE1vrdXk2ewwkNHYYSA6FdOCiBqYWt_F2PZ-Q_UEXjwq5T0WLM6v95hREKJyxBeVUnLo_L5xdRwHEujMPQJV4NlpjBPq0Vfqh_G&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, food, point_of_interest, establishment","Monday: 10:00AM - 2:00PM
Tuesday: 10:00AM - 2:00PM
Wednesday: 10:00AM - 2:00PM
Thursday: 10:00AM - 2:00PM
Friday: 10:00AM - 2:00PM
Saturday: 10:00AM - 2:00PM
Sunday: Closed"
AR,Historic Arkansas Museum,"200 East 3rd Street, Little Rock",Little Rock,72201,"34.7460543, -92.2690532",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPrKfE5iDBA6toXX2y4tPi6Gz1hLReUzjtaxfCNl6EK2NWa1UlbaY1ywc1kgkYs9KMIHYsZVXBntiStnhNdYhE5TadCtmL2blFMykKqgBJa1HltBFkoQgHiaadVVFHsvUqkHZD1SRaga-Z5FFRM8gS7nddTTKVr0N6RBSWDqlPX6CA8&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment","Monday: Closed
Tuesday: 9:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AR,Burns Park Funland,"25 Funland Drive, North Little Rock",North Little Rock,72114,"34.8019047, -92.3054951",4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOlSdhzCJdR518ehxulvau1l9iDQkgihCXXhbOwND4ayaZD7rTZ6jH3cN_WR1iPDr-ZOMQTVv8odh1Wx73NSKIT03AFdMlGLrhCKw3s3ddLsrnEtsa90M0oKaZsJafOwRX_FiMtoGqqclLJWygsGTn1EVQuI9h759vmgTcbR9DwPYeD&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"amusement_park, tourist_attraction, point_of_interest, establishment",N/A
AR,Downtown Little Rock Partnership,"101 East Capitol Avenue #106, Little Rock",Little Rock,72201,"34.743593, -92.2710486",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOShFMpB0b6jPFfCIJn2-W30uYJwLWpNWbvYS9_ZyZMig5fhyomvPQ3zK7kXq-4c0mSGN6uXMHXnzkdzuecuwHn4Vm68HNqVwVvILj4QJpO0tz0ePl0YKudMiFgkdFkqxeo4tfYqGSTRDXrCkghiLqbKlCVAkVnU44BfvO9_CsXhMim&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment","Monday: 8:30AM - 4:30PM
Tuesday: 8:30AM - 4:30PM
Wednesday: 8:30AM - 4:30PM
Thursday: 8:30AM - 4:30PM
Friday: 8:30AM - 4:30PM
Saturday: Closed
Sunday: Closed"
AR,Lake Cherrywood Park,"300 Summitt Street, Sherwood",Sherwood,72120,"34.82928140000001, -92.20261029999999",4.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMcp-Sc3yjnetwV9Kq5iF5veXxUblc7X3Gn94A3iEnw5sFaMi_s53LuYWbZ58ggnF1wXaLrkLT9A2qq_HAUlLFsCTk-DyrBDuCm5sZrDG3yBOns4OFf-qJWZpMv0PrpD8OQ_rJJm1CrnN_GiiDT1wfAHyPIv1yB6H2k29w18-9cAL07&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment",N/A
AR,Pettaway Park,"515 East 21st Street, Little Rock",Little Rock,72206,"34.7283643, -92.2683102",4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNog31H5m5OU5pt6P3ylNpJpg0vyo-fpLsvdwBkKE42l7_OdGe4KIG55PJj9l-pZY2MKQrWXe8JnpPQhwbwZ6h5u61B84Fx0GcsNk2u7YquKvH6BuinU6fX4CnBxB_id_V_WxHXqztZF0ivpZ3aSymJ1TYUeaUho73SxfwPmKe9WF23&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 5:15PM
Tuesday: 6:00AM - 5:15PM
Wednesday: 6:00AM - 5:15PM
Thursday: 6:00AM - 5:15PM
Friday: 6:00AM - 5:15PM
Saturday: 6:00AM - 5:15PM
Sunday: 6:00AM - 5:15PM"
AR,North Shore Park,"2700 Willow Street, North Little Rock",North Little Rock,72114,"34.77985590000001, -92.2709648",3.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNbBjwRHJHAz7wccra2HJUytuq12zY0b4rMRHGlKlr9SUQhozowztxHTwr6luyL-SdlFrK0n0URZRB_aZ8rczo9JVSW_s-VlqA1dZsARXbvKOd5IgM_romlM-VVc1eDEc6dCaeaRLBTc_h6QtIl1f0DovWAovlgWCinqNvyAyJ2iZbN&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 9:00PM
Tuesday: 6:00AM - 9:00PM
Wednesday: 6:00AM - 9:00PM
Thursday: 6:00AM - 9:00PM
Friday: 6:00AM - 9:00PM
Saturday: 6:00AM - 9:00PM
Sunday: 6:00AM - 9:00PM"
AR,Dunbar Garden,"1720 South Chester Street, Little Rock",Little Rock,72206,"34.7338661, -92.2849018",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOJY3mjNXjUVNE-2foWMpWfG7C_S1pdVIV7zQVEsQf3G3mfbOd6Z8Ff-Zo8gEAEMjxcEffDt8m5E3OiXgSGAdZs6zeeqqm7NOZc_vl2zUz7Vr3bQwv2hX2QeM9V0jIPlz5I3aqQP5cM-yzOfZBPWfCzbSvzlHmji-FsUgyCRcMqHvbZ&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 10:00AM - 2:00PM
Tuesday: Closed
Wednesday: 9:00AM - 2:00PM
Thursday: Closed
Friday: 10:00AM - 2:00PM
Saturday: Closed
Sunday: Closed"
AR,City of Colleges Park,"1025 East Siebenmorgen Road, Conway",Conway,72032,"35.0973374, -92.4167307",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNDPQp6i1XTRjkTHJIgKDFs4MnCzc9KekdXtk1azsYcbAMQsEoeL7htgvvHL4w34Sn1UYxUFZqhvV6AGJdnDNNzmoCTCLPAbZUhSxLuj7i2WK4ZaFPLp3QpPFHBlZMwFt4B56JahFFRundAL7GttdggtPUR2aJWW3vUM8vnHJnzcCvj&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment",N/A
AR,Tucker Creek Walking Trail,"Tucker Creek Trail, Conway",Conway,72034,"35.0811606, -92.47248499999999",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DN2DsKQnb2sMY2JS84LsAxs_ukR6SoMzM6rX9VsLhwMM99zKAM-zWZdgv-9OPAKcI8wEDhhIQCBwm48JnTzWIEM74Iaj8ufsk9x6dHxIL21mfL9S2RVe2K-AXsaJrsLgBfghwLNmcsCzMs0aq1wNV-vtg3o2Ch0GNuT3PhdfXPjMMya&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AR,Labyrinth,"1600 Washington Avenue, Conway",Conway,72032,"35.09822320000001, -92.4435635",N/A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMUPKYiseCJd8kOUNtYEFQJIhLJYtfXGsrmSaahuA7regPhRc2ySv43T1I0043od7JO2306zWlDm_yW3fVA8lMgYNmzpmgWlcMs_pSrgy2bvQM_LQVW20B09Xov9m4Aw6r7Hkb5YiKM4HzSQtU-2zW9V9-MtkfvDoYI3dpHudX82Ojy&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"landmark, tourist_attraction, point_of_interest, establishment",N/A
AR,Park On The River,"11903 Crystal Hill Road, Maumelle",Maumelle,72113,"34.8251289, -92.3953899",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMRhaou-JYpsERjQk82pRrFHGHZLNRtca5ZWuvhuV3LAEdbrl2GEBvcDD1plO4jhZ6R7sjqhGKxB-c77AD-C9Nn8gAShchtGfyi5Oq8UABqIeH2ZshcpNuCHnUgp3oinqw3Wx1s5GQmMre0eBd7pNs1Vn0oRMTLQPsfdjKkhCBRj3Zk&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:30AM - 9:00PM
Tuesday: 6:30AM - 9:00PM
Wednesday: 6:30AM - 9:00PM
Thursday: 6:30AM - 9:00PM
Friday: 6:30AM - 9:00PM
Saturday: 6:30AM - 9:00PM
Sunday: 6:30AM - 9:00PM"
